Country_Code;Name;Year_Week;Weekly_Tests;Weekly_Cases;Weekly_Deaths;Weekly_Hospitalizations;Weekly_ICUs;New_Hospitalizations_per_100k;New_ICUs_per_100k;Testing_Rate;Positivity_Rate;Deaths_Per_Million
ALB;Αλβανία;2020-11;;42;1;;;;;;;0,0
ALB;Αλβανία;2020-12;;47;1;;;;;;;0,0
ALB;Αλβανία;2020-13;;123;8;;;;;;;3,0
ALB;Αλβανία;2020-14;;149;10;;;;;;;3,0
ALB;Αλβανία;2020-15;;85;3;;;;;;;1,0
ALB;Αλβανία;2020-16;;116;3;;;;;;;1,0
ALB;Αλβανία;2020-17;;164;2;;;;;;;1,0
ALB;Αλβανία;2020-18;;69;3;;;;;;;1,0
ALB;Αλβανία;2020-19;;73;0;;;;;;;0,0
ALB;Αλβανία;2020-20;;78;0;;;;;;;0,0
ALB;Αλβανία;2020-21;;52;1;;;;;;;0,0
ALB;Αλβανία;2020-22;;139;1;;;;;;;0,0
ALB;Αλβανία;2020-23;;109;1;;;;;;;0,0
ALB;Αλβανία;2020-24;;275;2;;;;;;;1,0
ALB;Αλβανία;2020-25;;441;8;;;;;;;3,0
ALB;Αλβανία;2020-26;;440;11;;;;;;;4,0
ALB;Αλβανία;2020-27;;491;21;;;;;;;7,0
ALB;Αλβανία;2020-28;;561;17;;;;;;;6,0
ALB;Αλβανία;2020-29;;636;19;;;;;;;7,0
ALB;Αλβανία;2020-30;;673;26;;;;;;;9,0
ALB;Αλβανία;2020-31;;756;28;;;;;;;10,0
ALB;Αλβανία;2020-32;;892;33;;;;;;;11,0
ALB;Αλβανία;2020-33;;969;29;;;;;;;10,0
ALB;Αλβανία;2020-34;;1047;22;;;;;;;8,0
ALB;Αλβανία;2020-35;;953;30;;;;;;;10,0
ALB;Αλβανία;2020-36;;875;36;;;;;;;13,0
ALB;Αλβανία;2020-37;;1098;18;;;;;;;6,0
ALB;Αλβανία;2020-38;;1032;28;;;;;;;10,0
ALB;Αλβανία;2020-39;;874;15;;;;;;;5,0
ALB;Αλβανία;2020-40;;1007;19;;;;;;;7,0
ALB;Αλβανία;2020-41;;1133;24;;;;;;;8,0
ALB;Αλβανία;2020-42;;1656;31;;;;;;;11,0
ALB;Αλβανία;2020-43;;2102;26;;;;;;;9,0
ALB;Αλβανία;2020-44;;2045;41;;;;;;;14,0
ALB;Αλβανία;2020-45;;3004;41;;;;;;;14,0
ALB;Αλβανία;2020-46;;3624;64;;;;;;;22,0
ALB;Αλβανία;2020-47;;4931;76;;;;;;;26,0
ALB;Αλβανία;2020-48;;4864;99;;;;;;;34,0
ALB;Αλβανία;2020-49;;5363;107;;;;;;;37,0
ALB;Αλβανία;2020-50;;5542;98;;;;;;;34,0
ALB;Αλβανία;2020-51;;4473;85;;;;;;;30,0
ALB;Αλβανία;2020-52;;3251;65;;;;;;;23,0
ALB;Αλβανία;2020-53;;3184;40;;;;;;;14,0
ALB;Αλβανία;2021-01;;4157;48;;;;;;;17,0
ALB;Αλβανία;2021-02;;4095;36;;;;;;;13,0
ALB;Αλβανία;2021-03;;4584;38;;;;;;;13,0
ALB;Αλβανία;2021-04;;5853;65;;;;;;;23,0
ALB;Αλβανία;2021-05;;7209;80;;;;;;;28,0
ALB;Αλβανία;2021-06;;7739;95;;;;;;;33,0
ALB;Αλβανία;2021-07;;7171;111;;;;;;;39,0
ALB;Αλβανία;2021-08;;6921;130;;;;;;;45,0
ALB;Αλβανία;2021-09;;5730;143;;;;;;;50,0
ALB;Αλβανία;2021-10;;4577;106;;;;;;;37,0
ALB;Αλβανία;2021-11;;3726;92;;;;;;;32,0
ALB;Αλβανία;2021-12;;2934;73;;;;;;;25,0
ALB;Αλβανία;2021-13;;2397;55;;;;;;;19,0
ALB;Αλβανία;2021-14;;1862;52;;;;;;;18,0
ALB;Αλβανία;2021-15;;1201;25;;;;;;;9,0
ALB;Αλβανία;2021-16;;943;36;;;;;;;13,0
ALB;Αλβανία;2021-17;;701;19;;;;;;;7,0
ALB;Αλβανία;2021-18;;485;15;;;;;;;5,0
ALB;Αλβανία;2021-19;;292;20;;;;;;;7,0
ALB;Αλβανία;2021-20;;194;12;;;;;;;4,0
ALB;Αλβανία;2021-21;;100;6;;;;;;;2,0
ALB;Αλβανία;2021-22;;70;1;;;;;;;0,0
ALB;Αλβανία;2021-23;;80;2;;;;;;;1,0
ALB;Αλβανία;2021-24;;31;1;;;;;;;0,0
ALB;Αλβανία;2021-25;;22;2;;;;;;;1,0
ALB;Αλβανία;2021-26;;23;0;;;;;;;0,0
ALB;Αλβανία;2021-27;;57;0;;;;;;;0,0
ALB;Αλβανία;2021-28;;94;0;;;;;;;0,0
ALB;Αλβανία;2021-29;;189;0;;;;;;;0,0
ALB;Αλβανία;2021-30;;246;1;;;;;;;0,0
ALB;Αλβανία;2021-31;;791;2;;;;;;;1,0
ALB;Αλβανία;2021-32;;2035;5;;;;;;;2,0
ALB;Αλβανία;2021-33;;3377;14;;;;;;;5,0
ALB;Αλβανία;2021-34;;5523;14;;;;;;;5,0
ALB;Αλβανία;2021-35;;6150;23;;;;;;;8,0
ALB;Αλβανία;2021-36;;6029;28;;;;;;;10,0
ALB;Αλβανία;2021-37;;5927;37;;;;;;;13,0
ALB;Αλβανία;2021-38;;4940;60;;;;;;;21,0
ALB;Αλβανία;2021-39;;3901;73;;;;;;;25,0
ALB;Αλβανία;2021-40;;3174;55;;;;;;;19,0
ALB;Αλβανία;2021-41;;3003;52;;;;;;;18,0
